City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Lorengau,PG,82.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
4,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
5,Yeppoon,AU,74.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
6,Nobres,BR,81.88,scattered clouds,-14.7203,-56.3275,Hotel Portal Nobres
7,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
8,Rikitea,PF,75.97,moderate rain,-23.1203,-134.9692,People ThankYou
9,Lufkin,US,85.48,broken clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
10,Hithadhoo,MV,85.06,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
15,Vila Do Maio,CV,70.59,broken clouds,15.1333,-23.2167,Hotel Marilu
16,Auki,SB,82.27,overcast clouds,-8.7676,160.7034,Auki Motel
17,Saint George,US,85.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
18,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Itoman,JP,71.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
22,Mayo,US,68.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
25,Butaritari,KI,81.0,broken clouds,3.0707,172.7902,Isles Sunset Lodge
28,Hambantota,LK,80.98,overcast clouds,6.1241,81.1185,Bungalow 63
32,Puerto Ayora,EC,74.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
40,Basoko,CD,71.76,light rain,1.2391,23.616,Jackyna Hotel
43,Maddela,PH,76.53,broken clouds,16.3414,121.6849,Tolentino bridal entourage
44,Touros,BR,80.47,few clouds,-5.1989,-35.4608,INN NEW HORIZON
46,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
49,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Ilebo,CD,71.76,light rain,-4.3167,20.5833,Hôtel BUMAK
52,Hobart,AU,61.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Tabou,CI,80.71,light rain,4.423,-7.3528,hotêl doufoulougou
57,Cacule,BR,75.36,scattered clouds,-14.5033,-42.2222,Radar Palace Hotel
60,Wanning,CN,76.42,light rain,18.8003,110.3967,Paradise Hotel
61,Takoradi,GH,80.67,scattered clouds,4.8845,-1.7554,Raybow International Hotel
62,Namibe,AO,74.66,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
63,Cacoal,BR,77.7,overcast clouds,-11.4386,-61.4472,Hotel BR 364
66,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
67,Progreso,MX,80.71,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
69,Santa Cruz,BO,77.05,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
71,Jamestown,US,60.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
72,Bethel,US,62.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
74,Hervey Bay,AU,72.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
75,Victoria,HK,74.32,light rain,22.2855,114.1577,Mini Hotel Central
77,Sena Madureira,BR,79.81,broken clouds,-9.0656,-68.6569,Hotel Central
79,Lagoa,PT,60.8,clear sky,39.05,-27.9833,Casa Das Faias
80,Calabozo,VE,75.85,overcast clouds,8.9242,-67.4293,Hotel Giardini
82,Diffa,NE,89.01,overcast clouds,13.3154,12.6113,ProDAF/Diffa
84,Sungaipenuh,ID,65.44,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
85,Komsomolskiy,UZ,65.12,few clouds,40.4272,71.7189,Ikathouse
88,Bol,TD,86.61,overcast clouds,13.4586,14.7147,Harrouni camp de passage
89,Ambilobe,MG,72.03,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
95,Kavieng,PG,83.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
97,Vao,NC,75.43,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
98,Kadungora,ID,72.61,overcast clouds,-7.0899,107.8864,Villa Kadeudeuh
99,Sao Joao Da Barra,BR,74.44,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
100,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
101,Saint-Philippe,RE,74.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
102,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
105,Alta Floresta,BR,74.1,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
106,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Zhezkazgan,KZ,64.58,overcast clouds,47.8043,67.7144,Hotel Zumrat
