City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,2022-04-30 23:18:32,22.0752,-159.319,82.38,76,40,18.41,scattered clouds
1,Nikolskoye,RU,2022-04-30 23:18:33,59.7035,30.7861,37.8,78,96,7.14,overcast clouds
2,Lorengau,PG,2022-04-30 23:18:33,-2.0226,147.2712,82.94,74,100,1.32,overcast clouds
3,Mandan,US,2022-04-30 23:18:33,46.8267,-100.8896,52.38,59,100,29.93,overcast clouds
4,Avarua,CK,2022-04-30 23:18:34,-21.2078,-159.775,84.25,74,20,9.22,few clouds
5,Yeppoon,AU,2022-04-30 23:18:34,-23.1333,150.7333,74.98,83,89,10.98,overcast clouds
6,Nobres,BR,2022-04-30 23:18:35,-14.7203,-56.3275,81.88,47,46,2.44,scattered clouds
7,Chicama,PE,2022-04-30 23:18:35,-7.8447,-79.1469,63.14,75,46,8.23,scattered clouds
8,Rikitea,PF,2022-04-30 23:18:36,-23.1203,-134.9692,75.97,75,68,10.67,moderate rain
9,Lufkin,US,2022-04-30 23:18:36,31.3382,-94.7291,85.48,65,75,3.44,broken clouds
10,Hithadhoo,MV,2022-04-30 23:18:37,-0.6,73.0833,85.06,68,100,14.07,overcast clouds
11,Salto,UY,2022-04-30 23:16:35,-31.3833,-57.9667,59.88,78,100,5.99,overcast clouds
12,Salalah,OM,2022-04-30 23:18:37,17.0151,54.0924,86.09,79,40,3.44,scattered clouds
13,Talavera De La Reina,ES,2022-04-30 23:18:38,39.9635,-4.8308,59.34,68,48,2.66,scattered clouds
14,Bluff,NZ,2022-04-30 23:18:38,-46.6,168.3333,57.79,89,100,11.05,light rain
15,Vila Do Maio,CV,2022-04-30 23:18:38,15.1333,-23.2167,70.59,79,69,12.88,broken clouds
16,Auki,SB,2022-04-30 23:18:39,-8.7676,160.7034,82.27,79,100,1.92,overcast clouds
17,Saint George,US,2022-04-30 23:18:39,37.1041,-113.5841,85.24,12,0,8.05,clear sky
18,Vaini,TO,2022-04-30 23:18:39,-21.2,-175.2,80.76,89,75,10.36,broken clouds
19,Itoman,JP,2022-04-30 23:18:40,26.1247,127.6694,71.62,76,75,9.22,broken clouds
20,Fortuna,US,2022-04-30 23:18:40,40.5982,-124.1573,59.94,66,100,10.36,overcast clouds
21,Maarianhamina,AX,2022-04-30 23:15:28,60.0973,19.9348,31.86,100,0,1.14,light snow
22,Mayo,US,2022-04-30 23:18:41,38.8876,-76.5119,68.13,41,0,8.05,clear sky
23,North Bend,US,2022-04-30 23:18:41,43.4065,-124.2243,56.91,90,100,14.97,mist
24,Sangar,RU,2022-04-30 23:16:58,63.9242,127.4739,30.33,82,89,15.12,overcast clouds
25,Butaritari,KI,2022-04-30 23:18:42,3.0707,172.7902,81.0,81,78,13.53,broken clouds
26,Sitka,US,2022-04-30 23:18:42,57.0531,-135.33,49.89,62,40,3.44,scattered clouds
27,Busselton,AU,2022-04-30 23:18:43,-33.65,115.3333,54.77,87,0,5.32,clear sky
